Word	V	A	D	Anger	Disgust	Fear	Joy	Sadness	Surprise	Danger	Resource_Value	Social_Bond	Goal_Proximity	Is_Expanded
a battery	0.134	-0.298	-0.096	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.85	0.5	0.7	1
a bit	-0.096	-0.264	-0.214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.5	0.5	1
a bunch	0.088	-0.35	-0.068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.5	0.55	1
a cappella	0.134	-0.116	-0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.8	0.5	1
a couple	0.266	-0.11	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.85	0.6	1
a drive	0.134	0.136	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.6	0.5	0.75	1
a few	-0.138	-0.344	-0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.5	0.5	1
a further	-0.214	-0.152	-0.122	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.3	0.5	0.65	1
a getaway	0.222	0.076	-0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.7	0.5	0.85	1
a go	0.034	0.084	-0.034	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.5	0.5	0.7	1
a goner	-0.23	-0.148	-0.354	0.0	0.0	0.0	0.0	0.0	0.0	0.95	0.05	0.2	0.05	1
a good	0.666	-0.164	0.388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.7	0.75	1
a handful	0.034	0.118	-0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.4	0.4	0.5	1
a heel	0.0	-0.074	-0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.2	0.2	0.3	1
a kickback	-0.6	0.064	-0.142	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.7	0.4	0.65	1
a little	0.072	-0.38	-0.358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.5	0.45	1
a lot	0.1	-0.08	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.85	0.5	0.75	1
a mere	-0.31	-0.238	-0.066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.4	0.35	1
a must	0.034	-0.276	0.134	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.9	0.5	0.95	1
a no-brainer	-0.27	0.044	-0.234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.6	0.9	1
a one	0.172	-0.172	-0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.5	0.5	1
a pair	0.2	-0.25	-0.188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.6	0.5	1
a peach	0.37	-0.284	-0.138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.5	0.6	1
a pleasure	0.452	-0.15	0.068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.8	0.7	1
a plus	0.434	0.016	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.7	1
a priori	-0.138	-0.17	-0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.5	0.5	1
a roll	0.138	-0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.5	0.6	1
a sec	-0.31	-0.234	-0.366	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.2	0.5	0.4	1
a shame	-0.634	-0.088	-0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.1	0.3	0.3	1
a single	-0.104	-0.126	-0.394	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.3	0.4	0.5	1
a smokescreen	-0.552	0.258	-0.404	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.4	0.1	0.3	1
a sport	0.38	0.302	0.142	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.4	0.7	0.6	1
a stretch	0.108	-0.034	0.228	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.4	0.5	0.5	1
a student	0.388	-0.188	0.064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.7	0.6	1
a to-do	-0.104	0.05	-0.166	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.4	0.5	0.7	1
